Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,
2025-03-11,1.0912,161.52,1.9558,N/A,24.963,7.4587,N/A,0.84374,401.78,N/A,N/A,N/A,4.2003,N/A,4.9771,10.9815,N/A,N/A,0.9608,146.9,11.634,N/A,N/A,N/A,39.927,1.7357,6.3688,1.5731,7.8929,8.4784,17937.42,3.98,95.1455,1586.56,22.2142,4.8155,1.913,62.518,1.4535,36.855,19.9287,
2025-03-10,1.0845,159.39,1.9558,N/A,24.957,7.4584,N/A,0.83849,399.45,N/A,N/A,N/A,4.196,N/A,4.9765,10.9695,N/A,N/A,0.9512,146.9,11.6705,N/A,N/A,N/A,39.6428,1.7158,6.2887,1.5642,7.8718,8.4241,17739,3.9415,94.6938,1578.91,21.9075,4.7973,1.8917,62.261,1.4436,36.651,19.7829,
2025-03-07,1.0857,160.35,1.9558,N/A,25.016,7.4589,N/A,0.84088,399.28,N/A,N/A,N/A,4.1788,N/A,4.9757,10.9715,N/A,N/A,0.9557,147.3,11.759,N/A,N/A,N/A,39.5792,1.7258,6.2617,1.5566,7.8561,8.4357,17664.39,3.934,94.4435,1570.47,22.049,4.7934,1.9012,62.129,1.4448,36.518,19.7306,
2025-03-06,1.0796,159.24,1.9558,N/A,25.047,7.4593,N/A,0.8379,400.68,N/A,N/A,N/A,4.177,N/A,4.9754,10.962,N/A,N/A,0.9565,146.9,11.716,N/A,N/A,N/A,39.3233,1.7037,6.2088,1.5509,7.8247,8.3922,17670.84,3.9023,94.008,1563.53,22.0272,4.7799,1.881,61.924,1.4387,36.399,19.7579,
2025-03-05,1.0694,160.09,1.9558,N/A,25.048,7.4589,N/A,0.835,398.85,N/A,N/A,N/A,4.15,N/A,4.9758,11.0125,N/A,N/A,0.9514,146.5,11.82,N/A,N/A,N/A,38.9615,1.703,6.2938,1.5398,7.7675,8.3106,17496.99,3.875,93.0873,1551.65,22.0091,4.7369,1.8832,61.383,1.4301,36.012,19.7222,
2025-03-04,1.0557,156.5,1.9558,N/A,25.025,7.4589,N/A,0.82788,398.93,N/A,N/A,N/A,4.1593,N/A,4.9769,11.0995,N/A,N/A,0.9371,146.3,11.808,N/A,N/A,N/A,38.4845,1.6919,6.2132,1.5224,7.6614,8.2056,17328.15,3.8177,91.9903,1537.13,21.9418,4.7153,1.872,60.797,1.4151,35.582,19.5569,
2025-03-03,1.0465,158.33,1.9558,N/A,25.097,7.4583,N/A,0.8253,400.43,N/A,N/A,N/A,4.1708,N/A,4.9773,11.15,N/A,N/A,0.9428,145.7,11.695,N/A,N/A,N/A,38.1487,1.6811,6.159,1.5104,7.6282,8.1386,17216.08,3.7616,91.353,1526.42,21.4253,4.6737,1.8669,60.436,1.4106,35.691,19.5068,
2025-02-28,1.0411,156.96,1.9558,N/A,25.029,7.4583,N/A,0.82608,399.5,N/A,N/A,N/A,4.1503,N/A,4.9768,11.188,N/A,N/A,0.9394,145.7,11.7245,N/A,N/A,N/A,38.0186,1.6741,6.0712,1.5019,7.5782,8.098,17228.17,3.7457,90.971,1519.92,21.2191,4.6459,1.8579,60.355,1.4037,35.567,19.1917,
2025-02-27,1.0477,156.73,1.9558,N/A,24.987,7.4584,N/A,0.82673,399.43,N/A,N/A,N/A,4.1308,N/A,4.9763,11.159,N/A,N/A,0.9407,145.5,11.7015,N/A,N/A,N/A,38.1682,1.6638,6.0825,1.504,7.6127,8.1446,17238.38,3.7184,91.311,1511.87,21.3501,4.6565,1.8434,60.632,1.4049,35.522,19.2947,
2025-02-26,1.0487,156.7,1.9558,N/A,24.948,7.4584,N/A,0.82868,400.3,N/A,N/A,N/A,4.144,N/A,4.9773,11.143,N/A,N/A,0.9392,145.3,11.6895,N/A,N/A,N/A,38.2126,1.6622,6.0329,1.5054,7.6125,8.1516,17171.68,3.7475,91.3495,1504.35,21.4685,4.6447,1.8419,60.733,1.4035,35.388,19.2857,
