Date,inflation_percentage
2025-01-31,2.5
2024-12-31,2.4
2024-11-30,2.2
2024-10-31,2.0
2024-09-30,1.7
2024-08-31,2.2
2024-07-31,2.6
2024-06-30,2.5
2024-05-31,2.6
2024-04-30,2.4
2024-03-31,2.4
2024-02-29,2.6
2024-01-31,2.8
2023-12-31,2.9
2023-11-30,2.4
2023-10-31,2.9
2023-09-30,4.3
2023-08-31,5.2
2023-07-31,5.3
2023-06-30,5.5
2023-05-31,6.1
2023-04-30,7.0
2023-03-31,6.9
2023-02-28,8.5
2023-01-31,8.6
2022-12-31,9.2
2022-11-30,10.1
2022-10-31,10.6
2022-09-30,9.9
2022-08-31,9.1
2022-07-31,8.9
2022-06-30,8.6
2022-05-31,8.1
2022-04-30,7.4
2022-03-31,7.4
2022-02-28,5.9
2022-01-31,5.1
2021-12-31,5.0
2021-11-30,4.9
2021-10-31,4.1
2021-09-30,3.4
2021-08-31,3.0
2021-07-31,2.2
2021-06-30,1.9
2021-05-31,2.0
2021-04-30,1.6
2021-03-31,1.3
2021-02-28,0.9
2021-01-31,0.9
2020-12-31,-0.3
